28.5, 0.9
28.5, 0.8
28.5, 0.7
28.5, 0.6
28.5, 0.5
28.5, 0.4
28.5, 0.3
28.5, 0.2
27.5, 0.9
27.5, 0.8
27.5, 0.7
27.5, 0.6
27.5, 0.5
27.5, 0.4
27.5, 0.3
27.5, 0.2
26.5, 0.9
26.5, 0.8
26.5, 0.7
26.5, 0.6
26.5, 0.5
26.5, 0.4
26.5, 0.3
26.5, 0.2
25.5, 0.9
25.5, 0.8
25.5, 0.7
25.5, 0.6
25.5, 0.5
25.5, 0.4
25.5, 0.3
25.5, 0.2
24.5, 0.9
24.5, 0.8
24.5, 0.7
24.5, 0.6
24.5, 0.5
24.5, 0.4
24.5, 0.3
24.5, 0.2
23.5, 0.9
23.5, 0.8
23.5, 0.7
23.5, 0.6
23.5, 0.5
23.5, 0.4
23.5, 0.3
23.5, 0.2
22.5, 0.9
22.5, 0.8
22.5, 0.7
22.5, 0.6
22.5, 0.5
22.5, 0.4
22.5, 0.3
22.5, 0.2
21.5, 0.9
21.5, 0.8
21.5, 0.7
21.5, 0.6
21.5, 0.5
21.5, 0.4
21.5, 0.3
21.5, 0.2
20.5, 0.9
20.5, 0.8
20.5, 0.7
20.5, 0.6
20.5, 0.5
20.5, 0.4
20.5, 0.3
20.5, 0.2
19.5, 0.9
19.5, 0.8
19.5, 0.7
19.5, 0.6
19.5, 0.5
19.5, 0.4
19.5, 0.3
19.5, 0.2
18.5, 0.9
18.5, 0.8
18.5, 0.7
18.5, 0.6
18.5, 0.5
18.5, 0.4
18.5, 0.3
18.5, 0.2
17.5, 0.9
17.5, 0.8
17.5, 0.7
17.5, 0.6
17.5, 0.5
17.5, 0.4
17.5, 0.3
17.5, 0.2
16.5, 0.9
16.5, 0.8
16.5, 0.7
16.5, 0.6
16.5, 0.5
16.5, 0.4
16.5, 0.3
16.5, 0.2
15.5, 0.9
15.5, 0.8
15.5, 0.7
15.5, 0.6
15.5, 0.5
15.5, 0.4
15.5, 0.3
15.5, 0.2
14.5, 0.9
14.5, 0.8
14.5, 0.7
14.5, 0.6
14.5, 0.5
14.5, 0.4
14.5, 0.3
14.5, 0.2
13.5, 0.9
13.5, 0.8
13.5, 0.7
13.5, 0.6
13.5, 0.5
13.5, 0.4
13.5, 0.3
13.5, 0.2
12.5, 0.9
12.5, 0.8
12.5, 0.7
12.5, 0.6
12.5, 0.5
12.5, 0.4
12.5, 0.3
12.5, 0.2
11.5, 0.9
11.5, 0.8
11.5, 0.7
11.5, 0.6
11.5, 0.5
11.5, 0.4
11.5, 0.3
11.5, 0.2
10.5, 0.9
10.5, 0.8
10.5, 0.7
10.5, 0.6
10.5, 0.5
10.5, 0.4
10.5, 0.3
10.5, 0.2
9.5, 0.9
9.5, 0.8
9.5, 0.7
9.5, 0.6
9.5, 0.5
9.5, 0.4
9.5, 0.3
9.5, 0.2
8.5, 0.9
8.5, 0.8
8.5, 0.7
8.5, 0.6
8.5, 0.5
8.5, 0.4
8.5, 0.3
8.5, 0.2
7.5, 0.9
7.5, 0.8
7.5, 0.7
7.5, 0.6
7.5, 0.5
7.5, 0.4
7.5, 0.3
7.5, 0.2
6.5, 0.9
6.5, 0.8
6.5, 0.7
6.5, 0.6
6.5, 0.5
6.5, 0.4
6.5, 0.3
6.5, 0.2
5.5, 0.9
5.5, 0.8
5.5, 0.7
5.5, 0.6
5.5, 0.5
5.5, 0.4
5.5, 0.3
5.5, 0.2
4.5, 0.9
4.5, 0.8
4.5, 0.7
4.5, 0.6
4.5, 0.5
4.5, 0.4
4.5, 0.3
4.5, 0.2
