xval,average,std_dev
129.0,2559.492160497881,2.1478430617525617
103.0,2415.482718633764,2.8092677080748114
160.0,2357.302459896568,4.497948312578976
68.0,1967.3757153864244,2.771894571888489
158.0,2375.0879529084395,3.0465277617855158
69.0,1984.1890683683782,2.7141960728310552
95.0,2344.8606592504343,4.135438741752913
65.0,1915.8052566531003,3.389809603856079
36.0,1361.649038173626,2.6531138322144145
39.0,1418.4035777000456,2.2721320071594513
120.0,2537.0371960974726,2.845654642527561
138.0,2533.104522919534,3.3271720490404295
110.0,2462.683862438727,2.6981478312344205
148.0,2464.568406776667,2.764126773066323
159.0,2366.984566703172,4.067590567137536
55.0,1733.2545779773423,2.450592097752037
133.0,2552.839409602486,3.664234102672013
59.0,1807.8544909424631,2.904849082689075
90.0,2287.6351166301783,2.9886137397691304
30.0,1237.3717773607138,2.054848081786525
86.0,2236.383702413141,2.505469189599798
150.0,2447.4548796047943,3.229490839156072
76.0,2099.437062877217,3.3923467600686132
26.0,1159.2072373072078,1.9334308796884725
114.0,2495.292994784111,2.5412575814995457
137.0,2540.1099332606145,3.3312704217747426
74.0,2066.9569898299283,2.0839565656265044
38.0,1394.5011698862445,2.780824804082995
97.0,2367.129976738723,2.139229038556742
104.0,2421.291941974248,3.2113846996069473
29.0,1211.1068690284453,2.065498022388177
165.0,2309.567936651601,3.649600952440432
85.0,2223.560710241328,3.3276234200142376
91.0,2298.3349834719893,1.8746227242083144
54.0,1713.9366679053762,2.100763815048438
125.0,2553.99729729983,3.5822495856295546
79.0,2142.330242608823,3.2821935394733655
28.0,1187.826518023779,1.8920058150874302
128.0,2558.535151440535,2.562881852772453
118.0,2523.398881111289,3.761095661739501
162.0,2340.2826829778505,4.125204122485268
60.0,1826.1809451294073,2.8103345603475716
119.0,2529.1771727136,4.596536698914938
172.0,2245.944931962612,3.4113377624265206
88.0,2261.2049978015853,2.1735407120375103
100.0,2397.438649736459,2.357567143400012
147.0,2472.3826858578773,3.6498192862716663
121.0,2541.701652954259,2.7765294563496523
77.0,2115.202094462268,2.372510523859656
44.0,1517.7266341228924,2.737856801245188
107.0,2442.0736529707074,3.566385985736013
168.0,2281.924135560028,4.325577522930363
81.0,2171.6180966988813,2.199391832095507
32.0,1276.056408034989,3.004548447005347
140.0,2520.5719279275854,2.3649221497479314
115.0,2502.9230655859997,3.272576732605445
111.0,2471.9756624322995,2.8509817132830433
112.0,2479.5876386153936,3.134296390777759
